,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k,param_fs__score_func
108,-1.1850383333333334,absolute_error,random,7,<function f_regression at 0x000002C1AEAC9DA0>
57,-1.2105833333333333,friedman_mse,random,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
55,-1.2405449999999998,friedman_mse,random,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
7,-1.2705183333333332,squared_error,random,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
12,-1.2735466666666668,squared_error,random,7,<function f_regression at 0x000002C1AEAC9DA0>
60,-1.2950483333333334,friedman_mse,random,7,<function f_regression at 0x000002C1AEAC9DA0>
9,-1.3067166666666667,squared_error,random,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
156,-1.3239416666666668,poisson,random,7,<function f_regression at 0x000002C1AEAC9DA0>
101,-1.3525850000000001,absolute_error,random,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
154,-1.3541149999999997,poisson,random,6,<function f_regression at 0x000002C1AEAC9DA0>
54,-1.36697,friedman_mse,random,4,<function f_regression at 0x000002C1AEAC9DA0>
65,-1.3755650000000001,friedman_mse,random,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
17,-1.399311666666667,squared_error,random,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
13,-1.4025133333333333,squared_error,random,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
56,-1.4084166666666669,friedman_mse,random,5,<function f_regression at 0x000002C1AEAC9DA0>
8,-1.4363633333333332,squared_error,random,5,<function f_regression at 0x000002C1AEAC9DA0>
175,-1.4403583333333336,poisson,best,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
155,-1.4414733333333334,poisson,random,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
177,-1.4427100000000002,poisson,best,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
61,-1.4543316666666668,friedman_mse,random,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
180,-1.4684683333333335,poisson,best,7,<function f_regression at 0x000002C1AEAC9DA0>
181,-1.4815066666666667,poisson,best,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
79,-1.4846083333333335,friedman_mse,best,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
107,-1.4892016666666668,absolute_error,random,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
110,-1.4896033333333336,absolute_error,random,8,<function f_regression at 0x000002C1AEAC9DA0>
179,-1.5017650000000002,poisson,best,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
69,-1.5066133333333334,friedman_mse,random,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
115,-1.5137850000000002,absolute_error,random,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
64,-1.529795,friedman_mse,random,9,<function f_regression at 0x000002C1AEAC9DA0>
157,-1.538291666666667,poisson,random,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
31,-1.5430233333333332,squared_error,best,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
83,-1.5482900000000002,friedman_mse,best,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
16,-1.5530083333333333,squared_error,random,9,<function f_regression at 0x000002C1AEAC9DA0>
165,-1.56443,poisson,random,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
131,-1.5645016666666667,absolute_error,best,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
35,-1.5660183333333335,squared_error,best,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
36,-1.568826666666667,squared_error,best,7,<function f_regression at 0x000002C1AEAC9DA0>
123,-1.573656666666667,absolute_error,best,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
146,-1.5826466666666668,poisson,random,2,<function f_regression at 0x000002C1AEAC9DA0>
23,-1.5829666666666666,squared_error,random,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
22,-1.5829666666666666,squared_error,random,12,<function f_regression at 0x000002C1AEAC9DA0>
136,-1.5860566666666667,absolute_error,best,9,<function f_regression at 0x000002C1AEAC9DA0>
137,-1.5882966666666667,absolute_error,best,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
92,-1.5910283333333335,friedman_mse,best,11,<function f_regression at 0x000002C1AEAC9DA0>
130,-1.592361666666667,absolute_error,best,6,<function f_regression at 0x000002C1AEAC9DA0>
33,-1.5943166666666666,squared_error,best,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
135,-1.5948733333333336,absolute_error,best,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
21,-1.6012100000000005,squared_error,random,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
84,-1.6081266666666667,friedman_mse,best,7,<function f_regression at 0x000002C1AEAC9DA0>
176,-1.609876666666667,poisson,best,5,<function f_regression at 0x000002C1AEAC9DA0>
