,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k
28,-1.2105833333333333,friedman_mse,random,5
27,-1.2405449999999998,friedman_mse,random,4
3,-1.2705183333333332,squared_error,random,4
4,-1.3067166666666667,squared_error,random,5
50,-1.3525850000000001,absolute_error,random,3
32,-1.3755650000000001,friedman_mse,random,9
8,-1.399311666666667,squared_error,random,9
6,-1.4025133333333333,squared_error,random,7
87,-1.4403583333333336,poisson,best,4
77,-1.4414733333333334,poisson,random,6
88,-1.4427100000000002,poisson,best,5
30,-1.4543316666666668,friedman_mse,random,7
90,-1.4815066666666667,poisson,best,7
39,-1.4846083333333335,friedman_mse,best,4
53,-1.4892016666666668,absolute_error,random,6
89,-1.5017650000000002,poisson,best,6
34,-1.5066133333333334,friedman_mse,random,11
57,-1.5137850000000002,absolute_error,random,10
78,-1.538291666666667,poisson,random,7
15,-1.5430233333333332,squared_error,best,4
41,-1.5482900000000002,friedman_mse,best,6
82,-1.56443,poisson,random,11
65,-1.5645016666666667,absolute_error,best,6
17,-1.5660183333333335,squared_error,best,6
11,-1.5829666666666666,squared_error,random,12
68,-1.5882966666666667,absolute_error,best,9
16,-1.5943166666666666,squared_error,best,5
67,-1.5948733333333336,absolute_error,best,8
10,-1.6012100000000005,squared_error,random,11
18,-1.6133533333333336,squared_error,best,7
46,-1.6158033333333335,friedman_mse,best,11
9,-1.6333033333333336,squared_error,random,10
91,-1.6392950000000002,poisson,best,8
73,-1.6413116666666672,poisson,random,2
40,-1.6417550000000003,friedman_mse,best,5
59,-1.64696,absolute_error,random,12
33,-1.6518316666666668,friedman_mse,random,10
20,-1.6555783333333334,squared_error,best,9
63,-1.6580133333333336,absolute_error,best,4
42,-1.6664966666666667,friedman_mse,best,7
54,-1.676225,absolute_error,random,7
66,-1.6879133333333336,absolute_error,best,7
44,-1.6982483333333334,friedman_mse,best,9
43,-1.7013649999999998,friedman_mse,best,8
81,-1.703115,poisson,random,10
64,-1.706025,absolute_error,best,5
19,-1.7073816666666666,squared_error,best,8
45,-1.711651666666667,friedman_mse,best,10
47,-1.71736,friedman_mse,best,12
7,-1.7452783333333333,squared_error,random,8
31,-1.7515616666666667,friedman_mse,random,8
94,-1.764831666666667,poisson,best,11
22,-1.7688883333333336,squared_error,best,11
38,-1.7964750000000003,friedman_mse,best,3
86,-1.8080716666666672,poisson,best,3
92,-1.81663,poisson,best,9
70,-1.8238733333333332,absolute_error,best,11
14,-1.8279166666666669,squared_error,best,3
62,-1.8290383333333335,absolute_error,best,3
80,-1.837135,poisson,random,9
93,-1.8503950000000002,poisson,best,10
95,-1.868061666666667,poisson,best,12
29,-1.8771566666666668,friedman_mse,random,6
75,-1.8921199999999998,poisson,random,4
5,-1.91571,squared_error,random,6
61,-1.9166033333333339,absolute_error,best,2
69,-1.9182533333333336,absolute_error,best,10
55,-1.9228999999999998,absolute_error,random,8
21,-1.9291783333333334,squared_error,best,10
58,-1.9351166666666668,absolute_error,random,11
23,-1.948495,squared_error,best,12
56,-1.9638516666666663,absolute_error,random,9
71,-2.0018450000000003,absolute_error,best,12
79,-2.0241966666666666,poisson,random,8
52,-2.0480066666666668,absolute_error,random,5
83,-2.08703,poisson,random,12
35,-2.0968116666666665,friedman_mse,random,12
13,-2.236546666666667,squared_error,best,2
85,-2.2513183333333338,poisson,best,2
74,-2.33758,poisson,random,3
26,-2.3381133333333333,friedman_mse,random,3
2,-2.3381133333333333,squared_error,random,3
51,-2.371935,absolute_error,random,4
49,-2.377855,absolute_error,random,2
25,-2.435081666666667,friedman_mse,random,2
1,-2.648136666666667,squared_error,random,2
37,-2.7150000000000007,friedman_mse,best,2
76,-2.7567733333333333,poisson,random,5
60,-2.9178166666666665,absolute_error,best,1
0,-3.028446333333333,squared_error,random,1
72,-3.028446333333333,poisson,random,1
24,-3.028446333333333,friedman_mse,random,1
84,-3.080544111111111,poisson,best,1
36,-3.080544111111111,friedman_mse,best,1
12,-3.080544111111111,squared_error,best,1
48,-3.1422175,absolute_error,random,1
