,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
57,-1.1449250270028695,4,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
49,-1.1622859536444323,4,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
65,-1.173651691303112,5,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
59,-1.211979916247512,4,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
105,-1.2335632830340804,7,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
61,-1.2335899015110567,4,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
107,-1.234188484042235,7,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
51,-1.2454624186583672,4,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
35,-1.2547966123755523,3,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
91,-1.258390132563803,6,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
89,-1.25968313329257,6,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
67,-1.259865152769653,5,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
33,-1.261320275483652,3,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
73,-1.267732459638512,5,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
41,-1.2760539225336942,3,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
63,-1.2799871363436925,4,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
97,-1.3072533992184985,7,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
69,-1.3129278398834363,5,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
75,-1.3236619338333901,5,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
43,-1.3271692672810946,3,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
47,-1.331837984409403,3,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
71,-1.3365919678743936,5,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
45,-1.342712967229526,3,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
53,-1.3508969957095476,4,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
55,-1.3521462595275553,4,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
39,-1.3818349849047984,3,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
37,-1.3916599251289443,3,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
50,-1.4036433333333336,4,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
81,-1.4095549355211034,6,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
111,-1.421797718209055,7,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
79,-1.4309856196288684,5,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
93,-1.4323950876154494,6,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
95,-1.434912080820814,6,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
121,-1.435842493904431,8,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
77,-1.456554161184196,5,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
109,-1.4781515488276624,7,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
99,-1.524491514043316,7,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
85,-1.53094936496522,6,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
32,-1.5381716666666665,3,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
48,-1.55333,4,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
83,-1.5590327463254692,6,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
56,-1.564533333333333,4,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
34,-1.5659927777777778,3,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
64,-1.5691933333333332,5,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
25,-1.5838660058468073,2,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
27,-1.5862006728807527,2,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
101,-1.5862151805376645,7,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
106,-1.6025599999999998,7,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
90,-1.6319255555555554,6,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
88,-1.6375611111111108,6,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
66,-1.6389711111111112,5,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
113,-1.6417759613464917,8,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
58,-1.665622777777778,4,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
104,-1.6900955555555555,7,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
31,-1.695044614290947,2,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
