,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k,param_fs__score_func
179,-0.09587000000000001,poisson,best,6,<function mutual_info_regression at 0x000001E067DC34C0>
130,-0.10228333333333335,absolute_error,best,6,<function f_regression at 0x000001E067DE9620>
161,-0.10632333333333333,poisson,random,9,<function mutual_info_regression at 0x000001E067DC34C0>
132,-0.10828833333333335,absolute_error,best,7,<function f_regression at 0x000001E067DE9620>
128,-0.10917333333333332,absolute_error,best,5,<function f_regression at 0x000001E067DE9620>
181,-0.10938833333333335,poisson,best,7,<function mutual_info_regression at 0x000001E067DC34C0>
61,-0.11104499999999999,friedman_mse,random,7,<function mutual_info_regression at 0x000001E067DC34C0>
13,-0.11253500000000001,squared_error,random,7,<function mutual_info_regression at 0x000001E067DC34C0>
35,-0.11322833333333333,squared_error,best,6,<function mutual_info_regression at 0x000001E067DC34C0>
85,-0.11918166666666666,friedman_mse,best,7,<function mutual_info_regression at 0x000001E067DC34C0>
154,-0.11943666666666668,poisson,random,6,<function f_regression at 0x000001E067DE9620>
141,-0.12000333333333335,absolute_error,best,11,<function mutual_info_regression at 0x000001E067DC34C0>
153,-0.12193999999999998,poisson,random,5,<function mutual_info_regression at 0x000001E067DC34C0>
83,-0.12240833333333334,friedman_mse,best,6,<function mutual_info_regression at 0x000001E067DC34C0>
65,-0.12252333333333335,friedman_mse,random,9,<function mutual_info_regression at 0x000001E067DC34C0>
57,-0.12285666666666666,friedman_mse,random,5,<function mutual_info_regression at 0x000001E067DC34C0>
17,-0.12297166666666667,squared_error,random,9,<function mutual_info_regression at 0x000001E067DC34C0>
9,-0.12322999999999999,squared_error,random,5,<function mutual_info_regression at 0x000001E067DC34C0>
92,-0.12385666666666668,friedman_mse,best,11,<function f_regression at 0x000001E067DE9620>
37,-0.12581000000000003,squared_error,best,7,<function mutual_info_regression at 0x000001E067DC34C0>
34,-0.12593166666666666,squared_error,best,6,<function f_regression at 0x000001E067DE9620>
44,-0.12639666666666666,squared_error,best,11,<function f_regression at 0x000001E067DE9620>
150,-0.12691666666666668,poisson,random,4,<function f_regression at 0x000001E067DE9620>
106,-0.12764499999999998,absolute_error,random,6,<function f_regression at 0x000001E067DE9620>
109,-0.12776,absolute_error,random,7,<function mutual_info_regression at 0x000001E067DC34C0>
188,-0.12938166666666664,poisson,best,11,<function f_regression at 0x000001E067DE9620>
32,-0.12942,squared_error,best,5,<function f_regression at 0x000001E067DE9620>
135,-0.1305,absolute_error,best,8,<function mutual_info_regression at 0x000001E067DC34C0>
116,-0.13076333333333331,absolute_error,random,11,<function f_regression at 0x000001E067DE9620>
110,-0.130875,absolute_error,random,8,<function f_regression at 0x000001E067DE9620>
177,-0.13109833333333332,poisson,best,5,<function mutual_info_regression at 0x000001E067DC34C0>
183,-0.13231500000000002,poisson,best,8,<function mutual_info_regression at 0x000001E067DC34C0>
126,-0.13351833333333335,absolute_error,best,4,<function f_regression at 0x000001E067DE9620>
158,-0.13360833333333333,poisson,random,8,<function f_regression at 0x000001E067DE9620>
176,-0.13387666666666667,poisson,best,5,<function f_regression at 0x000001E067DE9620>
164,-0.13409666666666667,poisson,random,11,<function f_regression at 0x000001E067DE9620>
105,-0.13465166666666667,absolute_error,random,5,<function mutual_info_regression at 0x000001E067DC34C0>
136,-0.13493499999999997,absolute_error,best,9,<function f_regression at 0x000001E067DE9620>
138,-0.13622333333333334,absolute_error,best,10,<function f_regression at 0x000001E067DE9620>
62,-0.13717666666666664,friedman_mse,random,8,<function f_regression at 0x000001E067DE9620>
190,-0.1371966666666667,poisson,best,12,<function f_regression at 0x000001E067DE9620>
191,-0.1371966666666667,poisson,best,12,<function mutual_info_regression at 0x000001E067DC34C0>
139,-0.137735,absolute_error,best,10,<function mutual_info_regression at 0x000001E067DC34C0>
52,-0.13803333333333337,friedman_mse,random,3,<function f_regression at 0x000001E067DE9620>
4,-0.13809166666666667,squared_error,random,3,<function f_regression at 0x000001E067DE9620>
131,-0.13820166666666664,absolute_error,best,6,<function mutual_info_regression at 0x000001E067DC34C0>
134,-0.138265,absolute_error,best,8,<function f_regression at 0x000001E067DE9620>
108,-0.13860333333333333,absolute_error,random,7,<function f_regression at 0x000001E067DE9620>
174,-0.14040333333333332,poisson,best,4,<function f_regression at 0x000001E067DE9620>
