,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
133,-0.10830209386159884,6,3,1,distance,<function f_regression at 0x000001E067DE9620>
145,-0.1123407870162256,7,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
135,-0.11297213443349277,6,3,2,distance,<function f_regression at 0x000001E067DE9620>
147,-0.11502461407684508,7,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
123,-0.11516357379158268,6,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
169,-0.11568208542451493,8,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
171,-0.11830150136481946,8,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
121,-0.1207713809514938,6,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
111,-0.12125443584878022,5,3,2,distance,<function f_regression at 0x000001E067DE9620>
109,-0.1234010595908656,5,3,1,distance,<function f_regression at 0x000001E067DE9620>
193,-0.12442644647867988,9,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
97,-0.13319083182404146,5,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
99,-0.13467245731642236,5,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
85,-0.137274866926035,4,3,1,distance,<function f_regression at 0x000001E067DE9620>
195,-0.14536760753563444,9,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
87,-0.14581744121927354,4,3,2,distance,<function f_regression at 0x000001E067DE9620>
149,-0.15261678743425527,7,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
137,-0.15287820527852275,6,5,1,distance,<function f_regression at 0x000001E067DE9620>
217,-0.1552794773180144,10,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
173,-0.1556015125199342,8,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
75,-0.16035887082344,4,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
63,-0.16190208351333463,3,3,2,distance,<function f_regression at 0x000001E067DE9620>
61,-0.16345472697858088,3,3,1,distance,<function f_regression at 0x000001E067DE9620>
113,-0.16884012692345515,5,5,1,distance,<function f_regression at 0x000001E067DE9620>
139,-0.17188254667187858,6,5,2,distance,<function f_regression at 0x000001E067DE9620>
175,-0.1723208650568597,8,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
37,-0.17274679936625742,2,3,1,distance,<function f_regression at 0x000001E067DE9620>
157,-0.17284849651088702,7,3,1,distance,<function f_regression at 0x000001E067DE9620>
73,-0.17305310814547764,4,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
51,-0.1739227319699555,3,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
