,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators,param_fs__score_func
96,-0.1548087999999999,7,squared_error,50,<function f_regression at 0x000001E067DE9620>
98,-0.15949489999999988,7,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
102,-0.16131419999999994,7,poisson,50,<function f_regression at 0x000001E067DE9620>
97,-0.16354798333333323,7,squared_error,100,<function f_regression at 0x000001E067DE9620>
128,-0.16502773333333326,9,squared_error,50,<function f_regression at 0x000001E067DE9620>
129,-0.16682796666666666,9,squared_error,100,<function f_regression at 0x000001E067DE9620>
99,-0.1670328333333332,7,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
103,-0.16764479999999998,7,poisson,100,<function f_regression at 0x000001E067DE9620>
144,-0.16987839999999987,10,squared_error,50,<function f_regression at 0x000001E067DE9620>
146,-0.1714527999999999,10,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
80,-0.17199626666666656,6,squared_error,50,<function f_regression at 0x000001E067DE9620>
120,-0.17303723333333318,8,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
131,-0.17324113333333327,9,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
130,-0.17335619999999996,9,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
64,-0.1734137999999999,5,squared_error,50,<function f_regression at 0x000001E067DE9620>
135,-0.17440196666666663,9,poisson,100,<function f_regression at 0x000001E067DE9620>
82,-0.17478346666666653,6,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
150,-0.1748208999999999,10,poisson,50,<function f_regression at 0x000001E067DE9620>
126,-0.17489463333333316,8,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
113,-0.17495704999999992,8,squared_error,100,<function f_regression at 0x000001E067DE9620>
190,-0.17499483333333316,12,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
182,-0.17499483333333316,12,poisson,50,<function f_regression at 0x000001E067DE9620>
110,-0.17507839999999986,7,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
145,-0.17544249999999995,10,squared_error,100,<function f_regression at 0x000001E067DE9620>
112,-0.17547836666666655,8,squared_error,50,<function f_regression at 0x000001E067DE9620>
122,-0.17555559999999987,8,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
114,-0.1756874333333332,8,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
161,-0.1761670166666666,11,squared_error,100,<function f_regression at 0x000001E067DE9620>
134,-0.1767010999999999,9,poisson,50,<function f_regression at 0x000001E067DE9620>
160,-0.17696926666666654,11,squared_error,50,<function f_regression at 0x000001E067DE9620>
147,-0.17708076666666664,10,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
118,-0.17711463333333327,8,poisson,50,<function f_regression at 0x000001E067DE9620>
104,-0.17718779999999984,7,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
115,-0.17731086666666662,8,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
106,-0.1776070333333332,7,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
183,-0.17778018333333323,12,poisson,100,<function f_regression at 0x000001E067DE9620>
