,mean_test_score,param_fs__k,param_fs__score_func
12,-0.26894033156205166,7,<function f_regression at 0x000001E067DE9620>
11,-0.26953537075744516,6,<function mutual_info_regression at 0x000001E067DC34C0>
19,-0.2697038227559338,10,<function mutual_info_regression at 0x000001E067DC34C0>
15,-0.2724609280928171,8,<function mutual_info_regression at 0x000001E067DC34C0>
10,-0.27268870603913614,6,<function f_regression at 0x000001E067DE9620>
8,-0.2757723310587306,5,<function f_regression at 0x000001E067DE9620>
17,-0.27590677680026915,9,<function mutual_info_regression at 0x000001E067DC34C0>
13,-0.27610434240638293,7,<function mutual_info_regression at 0x000001E067DC34C0>
21,-0.2828114530784101,11,<function mutual_info_regression at 0x000001E067DC34C0>
14,-0.28448934086052724,8,<function f_regression at 0x000001E067DE9620>
20,-0.2987210169041013,11,<function f_regression at 0x000001E067DE9620>
16,-0.299516764173721,9,<function f_regression at 0x000001E067DE9620>
18,-0.30152727353323006,10,<function f_regression at 0x000001E067DE9620>
22,-0.34876476996560324,12,<function f_regression at 0x000001E067DE9620>
23,-0.34876476996560324,12,<function mutual_info_regression at 0x000001E067DC34C0>
6,-0.3602910564675702,4,<function f_regression at 0x000001E067DE9620>
9,-0.4131464915659451,5,<function mutual_info_regression at 0x000001E067DC34C0>
4,-0.4225067786654432,3,<function f_regression at 0x000001E067DE9620>
2,-0.4313953083605604,2,<function f_regression at 0x000001E067DE9620>
7,-0.5443293351413145,4,<function mutual_info_regression at 0x000001E067DC34C0>
0,-0.6122107871802505,1,<function f_regression at 0x000001E067DE9620>
3,-0.6285482928160132,2,<function mutual_info_regression at 0x000001E067DC34C0>
5,-0.6534598504391349,3,<function mutual_info_regression at 0x000001E067DC34C0>
1,-0.6548604203586791,1,<function mutual_info_regression at 0x000001E067DC34C0>
