,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators,param_fs__score_func
77,-1.4443865416666672,5,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
60,-1.4476398333333336,4,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
76,-1.4486085833333329,5,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
61,-1.4564861333333334,4,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
93,-1.474714341666666,6,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
57,-1.4754014166666678,4,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
172,-1.4778189333333338,11,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
101,-1.478313883333333,7,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
84,-1.4801559333333336,6,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
85,-1.480998833333333,6,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
92,-1.4822208333333335,6,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
164,-1.4836738666666673,11,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
63,-1.4836754333333337,4,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
140,-1.4839670000000007,9,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
56,-1.4851501666666664,4,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
59,-1.4881698833333332,4,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
100,-1.4914895333333331,7,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
132,-1.4928455000000007,9,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
99,-1.4983283333333337,7,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
117,-1.501678716666666,8,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
116,-1.5021582333333332,8,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
148,-1.5036032000000004,10,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
68,-1.5051681500000005,5,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
141,-1.5072383833333325,9,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
109,-1.5072608666666663,7,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
157,-1.5095793333333323,10,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
103,-1.5099607833333333,7,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
62,-1.5103519000000003,4,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
69,-1.5107963083333344,5,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
119,-1.5118844833333331,8,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
165,-1.511979783333333,11,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
115,-1.5143317833333338,8,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
125,-1.5153482333333326,8,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
149,-1.5160496499999998,10,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
97,-1.516433833333334,7,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
123,-1.5175144000000005,8,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
113,-1.5175986000000001,8,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
83,-1.5179047500000002,6,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
108,-1.5184668000000006,7,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
133,-1.5184973666666655,9,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
143,-1.5196893,9,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
111,-1.5203939333333332,7,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
124,-1.5217349333333332,8,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
107,-1.52179755,7,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
89,-1.5229409500000008,6,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
156,-1.523636066666667,10,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
91,-1.5237997500000007,6,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
135,-1.5250847166666663,9,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
127,-1.5267774666666667,8,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
75,-1.5280034500000008,5,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
139,-1.5283930333333333,9,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
