,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators
56,-0.17303723333333318,8,squared_error,50
62,-0.17489463333333316,8,poisson,50
94,-0.17499483333333316,12,poisson,50
54,-0.17507839999999986,7,poisson,50
58,-0.17555559999999987,8,friedman_mse,50
48,-0.17718779999999984,7,squared_error,50
50,-0.1776070333333332,7,friedman_mse,50
95,-0.17778018333333323,12,poisson,100
55,-0.17866184999999987,7,poisson,100
72,-0.17897853333333322,10,squared_error,50
78,-0.17932469999999992,10,poisson,50
87,-0.1793423999999999,11,poisson,100
88,-0.1795778333333332,12,squared_error,50
49,-0.1797123333333332,7,squared_error,100
63,-0.18029151666666657,8,poisson,100
80,-0.18042696666666652,11,squared_error,50
89,-0.18073321666666656,12,squared_error,100
73,-0.18080111666666654,10,squared_error,100
57,-0.18085008333333324,8,squared_error,100
40,-0.1813215333333332,6,squared_error,50
74,-0.1813704666666666,10,friedman_mse,50
46,-0.18195276666666652,6,poisson,50
51,-0.18277816666666652,7,friedman_mse,100
81,-0.18281374999999983,11,squared_error,100
82,-0.18284306666666658,11,friedman_mse,50
86,-0.1834126333333332,11,poisson,50
90,-0.1835078666666666,12,friedman_mse,50
59,-0.18394649999999993,8,friedman_mse,100
75,-0.18426999999999988,10,friedman_mse,100
38,-0.18447209999999994,5,poisson,50
42,-0.18453543333333325,6,friedman_mse,50
79,-0.1852135499999999,10,poisson,100
83,-0.18589001666666655,11,friedman_mse,100
91,-0.18656523333333327,12,friedman_mse,100
65,-0.18688539999999987,9,squared_error,100
67,-0.18837163333333323,9,friedman_mse,100
64,-0.1889681666666665,9,squared_error,50
47,-0.18915968333333313,6,poisson,100
41,-0.1893303833333332,6,squared_error,100
71,-0.18937009999999985,9,poisson,100
39,-0.18950671666666652,5,poisson,100
66,-0.1908741333333332,9,friedman_mse,50
43,-0.19247211666666658,6,friedman_mse,100
32,-0.19345723333333326,5,squared_error,50
70,-0.19534046666666655,9,poisson,50
33,-0.19543911666666652,5,squared_error,100
60,-0.1960856333333333,8,absolute_error,50
34,-0.19672356666666654,5,friedman_mse,50
92,-0.19966309999999987,12,absolute_error,50
35,-0.2000286333333332,5,friedman_mse,100
52,-0.20098733333333327,7,absolute_error,50
68,-0.20204666666666657,9,absolute_error,50
93,-0.20373379999999996,12,absolute_error,100
53,-0.20568858333333323,7,absolute_error,100
61,-0.20619868333333327,8,absolute_error,100
44,-0.20721306666666658,6,absolute_error,50
84,-0.20734119999999995,11,absolute_error,50
76,-0.20889536666666655,10,absolute_error,50
85,-0.21072678333333328,11,absolute_error,100
77,-0.21157328333333325,10,absolute_error,100
45,-0.21233394166666653,6,absolute_error,100
69,-0.21367889166666654,9,absolute_error,100
36,-0.22347473333333326,5,absolute_error,50
37,-0.22387518333333317,5,absolute_error,100
24,-0.25521749999999993,4,squared_error,50
26,-0.2569431999999999,4,friedman_mse,50
30,-0.25742129999999996,4,poisson,50
25,-0.25784799999999997,4,squared_error,100
31,-0.2600376999999999,4,poisson,100
27,-0.26275224999999997,4,friedman_mse,100
9,-0.2834914642063491,2,squared_error,100
29,-0.2868636083333332,4,absolute_error,100
28,-0.28892363333333326,4,absolute_error,50
20,-0.3023351999999999,3,absolute_error,50
17,-0.30354134999999993,3,squared_error,100
18,-0.3080461999999999,3,friedman_mse,50
10,-0.3096924966666666,2,friedman_mse,50
12,-0.32933776666666653,2,absolute_error,50
14,-0.3333808077777777,2,poisson,50
23,-0.3587204999999999,3,poisson,100
19,-0.3614385666666666,3,friedman_mse,100
21,-0.3621303333333332,3,absolute_error,100
22,-0.36749073333333326,3,poisson,50
16,-0.3692900333333333,3,squared_error,50
5,-0.38927627500000006,1,absolute_error,100
4,-0.38980516666666665,1,absolute_error,50
3,-0.39449328656218785,1,friedman_mse,100
1,-0.39449328656218785,1,squared_error,100
7,-0.39449328656218785,1,poisson,100
2,-0.39534860400220145,1,friedman_mse,50
0,-0.39534860400220145,1,squared_error,50
6,-0.39534860400220145,1,poisson,50
13,-0.39718480000000006,2,absolute_error,100
11,-0.39899906472222224,2,friedman_mse,100
8,-0.4056320333333333,2,squared_error,50
15,-0.4134931716666667,2,poisson,100
