,mean_test_score,param_fs__k,param_fs__score_func,param_svr__C,param_svr__kernel
69,-0.8708289212374083,6,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
81,-0.9022758103223953,7,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
76,-0.9470120109954712,7,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
57,-0.9937367619679011,5,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
94,-1.023602796542119,8,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
82,-1.0455438771998895,7,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
64,-1.0508431323732246,6,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
27,-1.0741433986976783,3,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
58,-1.099444845012438,5,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
52,-1.1005296770674202,5,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
88,-1.1005776208303863,8,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
51,-1.1194379263480656,5,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
75,-1.1196194685533694,7,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
106,-1.136425709954839,9,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
39,-1.1469336881431922,4,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
100,-1.1510765063887267,9,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
45,-1.1885602393536518,4,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
63,-1.2007112717916535,6,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
70,-1.2111258013959163,6,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
142,-1.2606211173629551,12,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
136,-1.2606211173629551,12,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
33,-1.285356645113435,3,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
93,-1.2987000716781079,8,<function f_regression at 0x000002C1AEAC9DA0>,10,rbf
112,-1.3143812237457497,10,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
79,-1.315064304942688,7,<function f_regression at 0x000002C1AEAC9DA0>,1,poly
