,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k
54,-1.1850383333333334,absolute_error,random,7
6,-1.2735466666666668,squared_error,random,7
30,-1.2950483333333334,friedman_mse,random,7
78,-1.3239416666666668,poisson,random,7
77,-1.3541149999999997,poisson,random,6
27,-1.36697,friedman_mse,random,4
28,-1.4084166666666669,friedman_mse,random,5
4,-1.4363633333333332,squared_error,random,5
90,-1.4684683333333335,poisson,best,7
55,-1.4896033333333336,absolute_error,random,8
32,-1.529795,friedman_mse,random,9
8,-1.5530083333333333,squared_error,random,9
18,-1.568826666666667,squared_error,best,7
73,-1.5826466666666668,poisson,random,2
11,-1.5829666666666666,squared_error,random,12
68,-1.5860566666666667,absolute_error,best,9
46,-1.5910283333333335,friedman_mse,best,11
65,-1.592361666666667,absolute_error,best,6
42,-1.6081266666666667,friedman_mse,best,7
88,-1.609876666666667,poisson,best,5
57,-1.6178433333333337,absolute_error,random,10
53,-1.6235933333333334,absolute_error,random,6
25,-1.62818,friedman_mse,random,2
1,-1.62818,squared_error,random,2
89,-1.6316933333333334,poisson,best,6
40,-1.6323966666666672,friedman_mse,best,5
91,-1.63332,poisson,best,8
44,-1.6335566666666668,friedman_mse,best,9
16,-1.64039,squared_error,best,5
20,-1.64202,squared_error,best,9
34,-1.6438916666666668,friedman_mse,random,11
59,-1.64696,absolute_error,random,12
67,-1.6489500000000004,absolute_error,best,8
3,-1.6499616666666665,squared_error,random,4
19,-1.6518383333333333,squared_error,best,8
10,-1.6519650000000001,squared_error,random,11
29,-1.6547183333333333,friedman_mse,random,6
81,-1.6616216666666666,poisson,random,10
31,-1.6721216666666667,friedman_mse,random,8
17,-1.679671666666667,squared_error,best,6
7,-1.6810883333333333,squared_error,random,8
45,-1.693396666666667,friedman_mse,best,10
66,-1.7159166666666668,absolute_error,best,7
64,-1.7161983333333333,absolute_error,best,5
75,-1.71665,poisson,random,4
47,-1.71736,friedman_mse,best,12
43,-1.7217933333333335,friedman_mse,best,8
41,-1.7286666666666668,friedman_mse,best,6
5,-1.7325716666666664,squared_error,random,6
87,-1.7341966666666668,poisson,best,4
14,-1.7613066666666668,squared_error,best,3
86,-1.7734216666666665,poisson,best,3
22,-1.7797133333333335,squared_error,best,11
15,-1.7845016666666667,squared_error,best,4
38,-1.7904733333333336,friedman_mse,best,3
92,-1.8045033333333333,poisson,best,9
93,-1.810046666666667,poisson,best,10
39,-1.8193666666666668,friedman_mse,best,4
70,-1.8278400000000006,absolute_error,best,11
62,-1.8420350000000003,absolute_error,best,3
94,-1.8507850000000001,poisson,best,11
33,-1.8558300000000003,friedman_mse,random,10
63,-1.8579866666666667,absolute_error,best,4
74,-1.8598400000000002,poisson,random,3
52,-1.861071666666667,absolute_error,random,5
95,-1.868061666666667,poisson,best,12
9,-1.8876800000000002,squared_error,random,10
50,-1.890125,absolute_error,random,3
69,-1.8952950000000004,absolute_error,best,10
26,-1.9011333333333336,friedman_mse,random,3
2,-1.9050633333333333,squared_error,random,3
58,-1.9055283333333335,absolute_error,random,11
80,-1.9468733333333332,poisson,random,9
21,-1.9471400000000003,squared_error,best,10
23,-1.948495,squared_error,best,12
51,-1.9657716666666665,absolute_error,random,4
71,-2.0018450000000003,absolute_error,best,12
79,-2.0348633333333335,poisson,random,8
56,-2.0405583333333333,absolute_error,random,9
49,-2.0704566666666664,absolute_error,random,2
83,-2.08703,poisson,random,12
35,-2.0968116666666665,friedman_mse,random,12
82,-2.1172166666666667,poisson,random,11
61,-2.275236666666667,absolute_error,best,2
76,-2.422001666666667,poisson,random,5
85,-2.4686266666666667,poisson,best,2
37,-2.5538600000000002,friedman_mse,best,2
13,-2.5615266666666665,squared_error,best,2
0,-2.8567349999999996,squared_error,random,1
72,-2.8567349999999996,poisson,random,1
24,-2.8567349999999996,friedman_mse,random,1
48,-2.8567349999999996,absolute_error,random,1
84,-2.8836799999999996,poisson,best,1
60,-2.8836799999999996,absolute_error,best,1
36,-2.8836799999999996,friedman_mse,best,1
12,-2.8836799999999996,squared_error,best,1
