,mean_test_score,params
33,-0.8708289212374083,"{'fs__k': 6, 'svr__C': 10, 'svr__kernel': 'rbf'}"
39,-0.9022758103223953,"{'fs__k': 7, 'svr__C': 10, 'svr__kernel': 'rbf'}"
27,-0.9937367619679011,"{'fs__k': 5, 'svr__C': 10, 'svr__kernel': 'rbf'}"
46,-1.023602796542119,"{'fs__k': 8, 'svr__C': 10, 'svr__kernel': 'poly'}"
40,-1.0455438771998895,"{'fs__k': 7, 'svr__C': 10, 'svr__kernel': 'poly'}"
28,-1.099444845012438,"{'fs__k': 5, 'svr__C': 10, 'svr__kernel': 'poly'}"
52,-1.136425709954839,"{'fs__k': 9, 'svr__C': 10, 'svr__kernel': 'poly'}"
21,-1.1885602393536518,"{'fs__k': 4, 'svr__C': 10, 'svr__kernel': 'rbf'}"
34,-1.2111258013959163,"{'fs__k': 6, 'svr__C': 10, 'svr__kernel': 'poly'}"
70,-1.2606211173629551,"{'fs__k': 12, 'svr__C': 10, 'svr__kernel': 'poly'}"
15,-1.285356645113435,"{'fs__k': 3, 'svr__C': 10, 'svr__kernel': 'rbf'}"
45,-1.2987000716781079,"{'fs__k': 8, 'svr__C': 10, 'svr__kernel': 'rbf'}"
37,-1.315064304942688,"{'fs__k': 7, 'svr__C': 1, 'svr__kernel': 'poly'}"
64,-1.3291718860321924,"{'fs__k': 11, 'svr__C': 10, 'svr__kernel': 'poly'}"
58,-1.3557596299045012,"{'fs__k': 10, 'svr__C': 10, 'svr__kernel': 'poly'}"
51,-1.4055811063313708,"{'fs__k': 9, 'svr__C': 10, 'svr__kernel': 'rbf'}"
31,-1.4064407481953756,"{'fs__k': 6, 'svr__C': 1, 'svr__kernel': 'poly'}"
43,-1.6071038311102863,"{'fs__k': 8, 'svr__C': 1, 'svr__kernel': 'poly'}"
25,-1.7007923574865873,"{'fs__k': 5, 'svr__C': 1, 'svr__kernel': 'poly'}"
22,-1.7065366090097502,"{'fs__k': 4, 'svr__C': 10, 'svr__kernel': 'poly'}"
57,-1.7188826955939718,"{'fs__k': 10, 'svr__C': 10, 'svr__kernel': 'rbf'}"
