,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights
41,-0.10830209386159884,6,3,1,distance
43,-0.11297213443349277,6,3,2,distance
35,-0.12125443584878022,5,3,2,distance
33,-0.1234010595908656,5,3,1,distance
25,-0.137274866926035,4,3,1,distance
27,-0.14581744121927354,4,3,2,distance
45,-0.15287820527852275,6,5,1,distance
19,-0.16190208351333463,3,3,2,distance
17,-0.16345472697858088,3,3,1,distance
37,-0.16884012692345515,5,5,1,distance
47,-0.17188254667187858,6,5,2,distance
9,-0.17274679936625742,2,3,1,distance
49,-0.17284849651088702,7,3,1,distance
11,-0.1773490097811834,2,3,2,distance
39,-0.17756140566940107,5,5,2,distance
40,-0.1878338888888889,6,3,1,uniform
31,-0.18813175961369694,4,5,2,distance
29,-0.18949224452688007,4,5,1,distance
57,-0.19547248715458584,8,3,1,distance
42,-0.20445888888888888,6,3,2,uniform
21,-0.20534001587002465,3,5,1,distance
13,-0.20606573423703223,2,5,1,distance
73,-0.20768810509405305,10,3,1,distance
23,-0.21018842323682924,3,5,2,distance
15,-0.21319836262867167,2,5,2,distance
34,-0.21336944444444442,5,3,2,uniform
81,-0.2159015812753311,11,3,1,distance
32,-0.21639666666666665,5,3,1,uniform
65,-0.21904088189587392,9,3,1,distance
1,-0.22817821206752678,1,3,1,distance
3,-0.22817821206752678,1,3,2,distance
48,-0.23084444444444446,7,3,1,uniform
59,-0.2335576835356148,8,3,2,distance
89,-0.23636433059803572,12,3,1,distance
51,-0.2437391735039348,7,3,2,distance
56,-0.24575444444444444,8,3,1,uniform
53,-0.24844802889943396,7,5,1,distance
72,-0.25247833333333336,10,3,1,uniform
80,-0.2596494444444445,11,3,1,uniform
7,-0.26004368958420454,1,5,2,distance
5,-0.26004368958420454,1,5,1,distance
24,-0.2602116666666667,4,3,1,uniform
61,-0.262273469214814,8,5,1,distance
10,-0.26266388888888886,2,3,2,uniform
8,-0.2652616666666666,2,3,1,uniform
64,-0.2663472222222222,9,3,1,uniform
67,-0.26832027057941976,9,3,2,distance
75,-0.27170298117601605,10,3,2,distance
88,-0.27349999999999997,12,3,1,uniform
77,-0.2753949308565161,10,5,1,distance
69,-0.2837458841493978,9,5,1,distance
26,-0.28828055555555554,4,3,2,uniform
0,-0.2939033333333333,1,3,1,uniform
2,-0.2939033333333333,1,3,2,uniform
85,-0.29439409360326535,11,5,1,distance
58,-0.3015261111111111,8,3,2,uniform
16,-0.30222722222222226,3,3,1,uniform
83,-0.3026844761087569,11,3,2,distance
18,-0.30611611111111114,3,3,2,uniform
44,-0.3104686666666666,6,5,1,uniform
93,-0.31204643182107855,12,5,1,distance
50,-0.31642333333333333,7,3,2,uniform
55,-0.31976265681623417,7,5,2,distance
60,-0.3334873333333333,8,5,1,uniform
52,-0.3381096666666667,7,5,1,uniform
76,-0.3393623333333333,10,5,1,uniform
66,-0.33995166666666665,9,3,2,uniform
63,-0.34066619563193606,8,5,2,distance
68,-0.3449143333333334,9,5,1,uniform
74,-0.34500555555555557,10,3,2,uniform
84,-0.352582,11,5,1,uniform
91,-0.3527818691420584,12,3,2,distance
46,-0.35997399999999996,6,5,2,uniform
36,-0.3618986666666667,5,5,1,uniform
92,-0.365724,12,5,1,uniform
79,-0.3680359116899009,10,5,2,distance
14,-0.3698,2,5,2,uniform
38,-0.3714613333333333,5,5,2,uniform
12,-0.37485833333333324,2,5,1,uniform
82,-0.3755083333333334,11,3,2,uniform
6,-0.38239199999999995,1,5,2,uniform
4,-0.38239199999999995,1,5,1,uniform
71,-0.384620824256511,9,5,2,distance
87,-0.3930556813560452,11,5,2,distance
30,-0.39372299999999993,4,5,2,uniform
90,-0.4072116666666667,12,3,2,uniform
54,-0.4090866666666666,7,5,2,uniform
95,-0.4173767873979301,12,5,2,distance
28,-0.417895,4,5,1,uniform
62,-0.41922099999999995,8,5,2,uniform
20,-0.43079899999999993,3,5,1,uniform
22,-0.4450076666666666,3,5,2,uniform
78,-0.4456429999999999,10,5,2,uniform
86,-0.46990033333333325,11,5,2,uniform
70,-0.4702543333333333,9,5,2,uniform
94,-0.4781013333333333,12,5,2,uniform
