,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights
49,-0.1123407870162256,7,3,1,distance
51,-0.11502461407684508,7,3,2,distance
43,-0.11516357379158268,6,3,2,distance
57,-0.11568208542451493,8,3,1,distance
59,-0.11830150136481946,8,3,2,distance
41,-0.1207713809514938,6,3,1,distance
65,-0.12442644647867988,9,3,1,distance
33,-0.13319083182404146,5,3,1,distance
35,-0.13467245731642236,5,3,2,distance
67,-0.14536760753563444,9,3,2,distance
53,-0.15261678743425527,7,5,1,distance
73,-0.1552794773180144,10,3,1,distance
61,-0.1556015125199342,8,5,1,distance
27,-0.16035887082344,4,3,2,distance
63,-0.1723208650568597,8,5,2,distance
25,-0.17305310814547764,4,3,1,distance
19,-0.1739227319699555,3,3,2,distance
37,-0.17682543072030668,5,5,1,distance
45,-0.17743087311437888,6,5,1,distance
55,-0.1775870441775987,7,5,2,distance
69,-0.18372207161723791,9,5,1,distance
17,-0.18388996051689888,3,3,1,distance
39,-0.18856053774230078,5,5,2,distance
56,-0.18907277777777778,8,3,1,uniform
48,-0.19057444444444444,7,3,1,uniform
64,-0.19283888888888892,9,3,1,uniform
47,-0.19621109560920075,6,5,2,distance
75,-0.1995135011170101,10,3,2,distance
50,-0.20338222222222221,7,3,2,uniform
42,-0.20637,6,3,2,uniform
58,-0.20653333333333332,8,3,2,uniform
72,-0.21180333333333334,10,3,1,uniform
40,-0.21180499999999997,6,3,1,uniform
71,-0.21248137554309193,9,5,2,distance
81,-0.22159440724399587,11,3,1,distance
21,-0.22788660892264828,3,5,1,distance
31,-0.22807762667260648,4,5,2,distance
23,-0.22948588381986243,3,5,2,distance
29,-0.231413240521373,4,5,1,distance
89,-0.23636433059803572,12,3,1,distance
66,-0.24213777777777784,9,3,2,uniform
32,-0.24451666666666663,5,3,1,uniform
77,-0.24475182761602818,10,5,1,distance
34,-0.2721711111111111,5,3,2,uniform
88,-0.27349999999999997,12,3,1,uniform
26,-0.2795672222222222,4,3,2,uniform
80,-0.28446777777777776,11,3,1,uniform
74,-0.28746555555555553,10,3,2,uniform
60,-0.2907276666666666,8,5,1,uniform
24,-0.29102388888888886,4,3,1,uniform
52,-0.29508999999999996,7,5,1,uniform
18,-0.2995333333333333,3,3,2,uniform
16,-0.3079816666666667,3,3,1,uniform
83,-0.3114208644997499,11,3,2,distance
93,-0.31204643182107855,12,5,1,distance
79,-0.3190647653794235,10,5,2,distance
85,-0.32549274362332004,11,5,1,distance
68,-0.327028,9,5,1,uniform
13,-0.3390763078179789,2,5,1,distance
76,-0.34910433333333335,10,5,1,uniform
62,-0.34979499999999997,8,5,2,uniform
8,-0.35108666666666666,2,3,1,uniform
91,-0.3527818691420584,12,3,2,distance
92,-0.365724,12,5,1,uniform
54,-0.36922066666666664,7,5,2,uniform
15,-0.3695530603126731,2,5,2,distance
70,-0.3710033333333333,9,5,2,uniform
82,-0.3746183333333334,11,3,2,uniform
87,-0.3766721771674117,11,5,2,distance
36,-0.3855506666666667,5,5,1,uniform
3,-0.3862486627259427,1,3,2,distance
1,-0.3862486627259427,1,3,1,distance
44,-0.38960133333333336,6,5,1,uniform
38,-0.395679,5,5,2,uniform
9,-0.39849053999484596,2,3,1,distance
90,-0.4072116666666667,12,3,2,uniform
5,-0.4132405430936009,1,5,1,distance
7,-0.4132405430936009,1,5,2,distance
84,-0.41402900000000004,11,5,1,uniform
95,-0.4173767873979301,12,5,2,distance
46,-0.41797966666666664,6,5,2,uniform
78,-0.436135,10,5,2,uniform
11,-0.43814852938993515,2,3,2,distance
20,-0.44434900000000005,3,5,1,uniform
86,-0.450824,11,5,2,uniform
2,-0.4544822222222222,1,3,2,uniform
0,-0.4544822222222222,1,3,1,uniform
94,-0.4781013333333333,12,5,2,uniform
22,-0.492822,3,5,2,uniform
10,-0.5164455555555556,2,3,2,uniform
30,-0.517947,4,5,2,uniform
28,-0.5182496666666666,4,5,1,uniform
14,-0.5428316666666666,2,5,2,uniform
12,-0.5684186666666666,2,5,1,uniform
6,-0.6068606666666666,1,5,2,uniform
4,-0.6068606666666666,1,5,1,uniform
