,mean_test_score,params
40,-0.9470120109954712,"{'fs__k': 7, 'svr__C': 10, 'svr__kernel': 'poly'}"
34,-1.0556083499911382,"{'fs__k': 6, 'svr__C': 10, 'svr__kernel': 'poly'}"
28,-1.1005296770674202,"{'fs__k': 5, 'svr__C': 10, 'svr__kernel': 'poly'}"
46,-1.1005776208303863,"{'fs__k': 8, 'svr__C': 10, 'svr__kernel': 'poly'}"
27,-1.1194379263480656,"{'fs__k': 5, 'svr__C': 10, 'svr__kernel': 'rbf'}"
39,-1.1196194685533694,"{'fs__k': 7, 'svr__C': 10, 'svr__kernel': 'rbf'}"
21,-1.1469336881431922,"{'fs__k': 4, 'svr__C': 10, 'svr__kernel': 'rbf'}"
52,-1.1510765063887267,"{'fs__k': 9, 'svr__C': 10, 'svr__kernel': 'poly'}"
15,-1.156493384787524,"{'fs__k': 3, 'svr__C': 10, 'svr__kernel': 'rbf'}"
33,-1.1993456865089593,"{'fs__k': 6, 'svr__C': 10, 'svr__kernel': 'rbf'}"
70,-1.2606211173629551,"{'fs__k': 12, 'svr__C': 10, 'svr__kernel': 'poly'}"
58,-1.3143812237457497,"{'fs__k': 10, 'svr__C': 10, 'svr__kernel': 'poly'}"
45,-1.3185149296807932,"{'fs__k': 8, 'svr__C': 10, 'svr__kernel': 'rbf'}"
19,-1.336779811570746,"{'fs__k': 4, 'svr__C': 1, 'svr__kernel': 'poly'}"
22,-1.3384604365902715,"{'fs__k': 4, 'svr__C': 10, 'svr__kernel': 'poly'}"
37,-1.4311733676840785,"{'fs__k': 7, 'svr__C': 1, 'svr__kernel': 'poly'}"
64,-1.432772004123283,"{'fs__k': 11, 'svr__C': 10, 'svr__kernel': 'poly'}"
51,-1.4452481962354486,"{'fs__k': 9, 'svr__C': 10, 'svr__kernel': 'rbf'}"
25,-1.4969311386291775,"{'fs__k': 5, 'svr__C': 1, 'svr__kernel': 'poly'}"
31,-1.5970438968677578,"{'fs__k': 6, 'svr__C': 1, 'svr__kernel': 'poly'}"
43,-1.598695860435909,"{'fs__k': 8, 'svr__C': 1, 'svr__kernel': 'poly'}"
57,-1.7400183800463445,"{'fs__k': 10, 'svr__C': 10, 'svr__kernel': 'rbf'}"
59,-1.8020426482973477,"{'fs__k': 10, 'svr__C': 10, 'svr__kernel': 'linear'}"
41,-1.8037094466987909,"{'fs__k': 7, 'svr__C': 10, 'svr__kernel': 'linear'}"
47,-1.805553260264436,"{'fs__k': 8, 'svr__C': 10, 'svr__kernel': 'linear'}"
53,-1.8092614285557282,"{'fs__k': 9, 'svr__C': 10, 'svr__kernel': 'linear'}"
65,-1.81292637034186,"{'fs__k': 11, 'svr__C': 10, 'svr__kernel': 'linear'}"
71,-1.829636649435935,"{'fs__k': 12, 'svr__C': 10, 'svr__kernel': 'linear'}"
49,-1.8678313588473734,"{'fs__k': 9, 'svr__C': 1, 'svr__kernel': 'poly'}"
63,-1.9338494404409814,"{'fs__k': 11, 'svr__C': 10, 'svr__kernel': 'rbf'}"
13,-1.9802040225436985,"{'fs__k': 3, 'svr__C': 1, 'svr__kernel': 'poly'}"
35,-2.02189108987569,"{'fs__k': 6, 'svr__C': 10, 'svr__kernel': 'linear'}"
69,-2.03027201173014,"{'fs__k': 12, 'svr__C': 10, 'svr__kernel': 'rbf'}"
55,-2.171854658376484,"{'fs__k': 10, 'svr__C': 1, 'svr__kernel': 'poly'}"
23,-2.1915616058413296,"{'fs__k': 4, 'svr__C': 10, 'svr__kernel': 'linear'}"
16,-2.224520983886281,"{'fs__k': 3, 'svr__C': 10, 'svr__kernel': 'poly'}"
29,-2.2565833731346268,"{'fs__k': 5, 'svr__C': 10, 'svr__kernel': 'linear'}"
67,-2.273892895214458,"{'fs__k': 12, 'svr__C': 1, 'svr__kernel': 'poly'}"
61,-2.3042031454201077,"{'fs__k': 11, 'svr__C': 1, 'svr__kernel': 'poly'}"
9,-2.3145711907999655,"{'fs__k': 2, 'svr__C': 10, 'svr__kernel': 'rbf'}"
18,-2.832455445510703,"{'fs__k': 4, 'svr__C': 1, 'svr__kernel': 'rbf'}"
12,-2.8558501601459803,"{'fs__k': 3, 'svr__C': 1, 'svr__kernel': 'rbf'}"
17,-2.856959068668714,"{'fs__k': 3, 'svr__C': 10, 'svr__kernel': 'linear'}"
24,-2.879960118301928,"{'fs__k': 5, 'svr__C': 1, 'svr__kernel': 'rbf'}"
7,-2.9744986120557626,"{'fs__k': 2, 'svr__C': 1, 'svr__kernel': 'poly'}"
10,-3.0099562753023674,"{'fs__k': 2, 'svr__C': 10, 'svr__kernel': 'poly'}"
30,-3.011472788496829,"{'fs__k': 6, 'svr__C': 1, 'svr__kernel': 'rbf'}"
26,-3.0497744519583643,"{'fs__k': 5, 'svr__C': 1, 'svr__kernel': 'linear'}"
38,-3.066940309068033,"{'fs__k': 7, 'svr__C': 1, 'svr__kernel': 'linear'}"
32,-3.0773449693288284,"{'fs__k': 6, 'svr__C': 1, 'svr__kernel': 'linear'}"
36,-3.077855094831958,"{'fs__k': 7, 'svr__C': 1, 'svr__kernel': 'rbf'}"
44,-3.079967981228127,"{'fs__k': 8, 'svr__C': 1, 'svr__kernel': 'linear'}"
62,-3.0856355234975936,"{'fs__k': 11, 'svr__C': 1, 'svr__kernel': 'linear'}"
68,-3.0878623951199,"{'fs__k': 12, 'svr__C': 1, 'svr__kernel': 'linear'}"
50,-3.0892449027544773,"{'fs__k': 9, 'svr__C': 1, 'svr__kernel': 'linear'}"
56,-3.093281891583102,"{'fs__k': 10, 'svr__C': 1, 'svr__kernel': 'linear'}"
6,-3.1013999485504855,"{'fs__k': 2, 'svr__C': 1, 'svr__kernel': 'rbf'}"
20,-3.1564135720679483,"{'fs__k': 4, 'svr__C': 1, 'svr__kernel': 'linear'}"
3,-3.1701869715459066,"{'fs__k': 1, 'svr__C': 10, 'svr__kernel': 'rbf'}"
42,-3.227723051799979,"{'fs__k': 8, 'svr__C': 1, 'svr__kernel': 'rbf'}"
11,-3.2284484063179955,"{'fs__k': 2, 'svr__C': 10, 'svr__kernel': 'linear'}"
0,-3.2343845360804786,"{'fs__k': 1, 'svr__C': 1, 'svr__kernel': 'rbf'}"
48,-3.3097256161595907,"{'fs__k': 9, 'svr__C': 1, 'svr__kernel': 'rbf'}"
1,-3.329193007172589,"{'fs__k': 1, 'svr__C': 1, 'svr__kernel': 'poly'}"
4,-3.3292061742383487,"{'fs__k': 1, 'svr__C': 10, 'svr__kernel': 'poly'}"
14,-3.4011843674421085,"{'fs__k': 3, 'svr__C': 1, 'svr__kernel': 'linear'}"
54,-3.455047782148688,"{'fs__k': 10, 'svr__C': 1, 'svr__kernel': 'rbf'}"
8,-3.489009514547323,"{'fs__k': 2, 'svr__C': 1, 'svr__kernel': 'linear'}"
60,-3.532031039661626,"{'fs__k': 11, 'svr__C': 1, 'svr__kernel': 'rbf'}"
2,-3.5892732836900136,"{'fs__k': 1, 'svr__C': 1, 'svr__kernel': 'linear'}"
66,-3.605611472184054,"{'fs__k': 12, 'svr__C': 1, 'svr__kernel': 'rbf'}"
5,-3.62182207763392,"{'fs__k': 1, 'svr__C': 10, 'svr__kernel': 'linear'}"
